application,review,rating,clean_review,sentiment
Halodoc,"Baru pertama kali nyoba konsultasi, tapi kecewa sekali bayar tapi ga dapet apa-apa, konsultasi cuma di baca ga di respond sama sekali sampai sesi konsul abis. Saya konsul ke dokter spesialis anak. dr. Maria priskila Sp. A. Ga profesional.",1,kali nyoba konsultasi kecewa bayar ga dapet apaapa konsultasi baca ga respond sesi konsul abis konsul dokter spesialis anak dr maria priskila sp a ga profesional,negative
Halodoc,Tahukah kamu banyak orang yang butuh pertolongan di luar sana dan memiliki kendala finansial yang dimana seharusnya apk ini menjadi jawabannya malah justru harus mengeluarkan uang kamu tidak tahu berapa banyak orang yang memiliki depresi dan masalah mental lainnya namun finansial mereka pas pas an jadi mereka biarkan saja masalah mental mereka tidak kah itu begitu miris untuk di biarkan begitu saja,2,tahukah orang butuh pertolongan memiliki kendala finansial dimana apk jawabannya mengeluarkan uang orang memiliki depresi mental finansial pas pas an biarkan mental kah miris biarkan,negative
Halodoc,sangat membantu dan dokter nya sangat ramah,5,membantu dokter nya ramah,positive
Halodoc,"Sesi konsultasi ternyata cm 30 menit, dokternya slow respon pula.. belom sampai dpt resep tpi sesi konsultasi sdah berakhir.. Kapok sih krna buang uang sia² gak dpt resep.. Kecewa pakai banget",1,sesi konsultasi cm 30 menit dokternya slow respon belom dpt resep tpi sesi konsultasi sdah kapok sih krna buang uang sia² gak dpt resep kecewa pakai banget,negative
Alodokter,"Aplikasi gak jelas lagi butuh banget malah dipersulit udah bayar malah disuru bayar lagi,mendingan dikasih bintang satu mau nya gk ada bintang nya gue kasih taik emg jangan dowload gaes nanti nyesel!!",1,aplikasi gak butuh banget dipersulit udah bayar disuru bayar lagimendingan dikasih bintang nya gk bintang nya gue kasih taik emg dowload gaes nyesel,negative
Halodoc,Lumayan lah membantu,4,lumayan membantu,positive
Alodokter,Maaf pernah sy download krn kita bebas bertanya dan gratis pula tapi sekarang tdk bisa gratis lagi😭😭,4,maaf sy download krn bebas gratis tdk gratis,positive
Alodokter,sangat membantu,5,membantu,positive
Alodokter,Ok membantu sekali ilmu medis,3,ok membantu ilmu medis,negative
Halodoc,Entah kenapa pas bagian isi identitas profil malah tdk bisa tersimpan/proses kirain wifi yg bermasalah tapi waktu saya ganti ke sinyal selular biasa tetap saja tdk bisa. Pdhl saya ingin segera konsul jadi tertunda2 deh😔 Oh ya saya mau tanya kalau dpt resep obat apakah harus dipesan lewat aps ini ya? Apa bisa obatnya ditebus sendiri? Ini khasusnya kalau rumahnya jauh dr kota dan gojek tdk bisa menjangkaunya. Trims.,2,pas isi identitas profil tdk tersimpanproses kirain wifi yg bermasalah ganti sinyal selular tdk pdhl konsul tertunda2 deh oh ya dpt resep obat dipesan aps ya obatnya ditebus khasusnya rumahnya dr kota gojek tdk menjangkaunya trims,negative
Alodokter,"konsul ke dokter zaman skarang gak ada yang gratis, harus bayar.",1,konsul dokter zaman skarang gak gratis bayar,negative
Alodokter,Bagus detaile sampai selesai Terimakasih Alodokter sangat membantu,5,bagus detaile selesai terimakasih alodokter membantu,positive
Halodoc,"Keterangan di aplikasi terkoneksi dengan asuransi, pas pembayaran di minta bayar mandiri. Buat apa saya masukan asuransi saya kalau ujung2 saya di minta bayar semua mandiri tidak terkoneksi asuransi.",1,keterangan aplikasi terkoneksi asuransi pas pembayaran bayar mandiri masukan asuransi ujung2 bayar mandiri terkoneksi asuransi,negative
Alodokter,"Saya saranin jangan download ini aplikasi coo, ga ada membatu sama sekali .. chat saja harus di bayar , jika ingin konsultasi mending ke layanan terdekat saja . Nyesal gw😬",1,saranin download aplikasi coo ga membatu chat bayar konsultasi mending layanan terdekat nyesal gw,negative
Halodoc,"Paket saya ga sampe , tidak ada pertanggung jawabannya !!! --> thanks akhirnya dana saya diganti juga walaupun lama banget dan proses nya panjang",3,paket ga sampe pertanggung jawabannya thanks dana diganti banget proses nya,negative
Alodokter,"Luama bgt mau Konsul ke dokter umum, tp bukan yg milih dokternya sendiri Estimasi 7 menit ini dibiarin nunggu ga jelas hampir setengah jam 😵‍💫",1,luama bgt konsul dokter tp yg milih dokternya estimasi 7 menit dibiarin nunggu ga jam,negative
Alodokter,Konsultasi ? Mending ke chet gpt kayanya 🤦,1,konsultasi mending chet gpt kayanya,negative
Alodokter,Terbantu,2,terbantu,negative
Alodokter,"tidak ada note bahwa pengiriman diatas jam 15.00 diproses esok hari. Sudah hubungi cs dan sy saran kasih solusi kalau sy yg pick up lgsung aja, karna sy butuh cepat dan urgent tapi tetap disuruh menunggu, esok hari nya obat masih belum datang sampai siang, kalo app sebelah pengiriman 24jam, sy kira alodok sama juga ya yg mana notabene nya kesehatan itu harus gercep. Tks",1,note pengiriman diatas jam 1500 diproses esok hubungi cs sy saran kasih solusi sy yg pick up lgsung aja karna sy butuh cepat urgent disuruh menunggu esok nya obat siang kalo app sebelah pengiriman 24jam sy alodok ya yg notabene nya kesehatan gercep tks,negative
Halodoc,Sangat bermanfaat,4,bermanfaat,positive
Alodokter,Lumayan bagus,4,lumayan bagus,positive
Alodokter,dokternya baik jelas sekali penjelasannya,5,dokternya penjelasannya,positive
Halodoc,Sangat memudahkan kaum mager dan takut ke dokter.,4,memudahkan kaum mager takut dokter,positive
Alodokter,Bagus,3,bagus,negative
Halodoc,"Pengalaman pakai jasa dokter spkk di halodoc cukup membayar 57 ribu bisa konsul dengan berbagai dokter dalam waktu 30 menit. Saya kira hampir sama resepnya dengan dokter spkk yang saya temui. Hanya saja di halodoc sedikit buru2 dan sebagian pertanyaan belum terjawab karena chat langsung menutup setelah waktu selesai. Sementara waktu juga sedikit terbuang karena dokter bertanya berulang, juga memikirkan pertanyaan yg akan ditanyakan. Untuk biaya resep dan tebus obat dihalodoc sedikit mahal.",3,pengalaman pakai jasa dokter spkk halodoc membayar 57 ribu konsul dokter 30 menit resepnya dokter spkk temui halodoc buru2 terjawab chat langsung menutup selesai terbuang dokter berulang memikirkan yg biaya resep tebus obat dihalodoc mahal,negative
Halodoc,"Saran, ada penilaian atau evaluasi dari pasien.",4,saran penilaian evaluasi pasien,positive
Alodokter,ok,5,ok,positive
Halodoc,sangat membantu,5,membantu,positive
Halodoc,Sangat bermanfaat & membantu masyarakat,5,bermanfaat membantu masyarakat,positive
Alodokter,sangat membantu,5,membantu,positive
Alodokter,Kirain gratis ternyata berbayar,1,kirain gratis berbayar,negative
Alodokter,Mau chat aja harus bayar 🤣 ga melayani setulus hati namanya,1,chat aja bayar ga melayani setulus hati namanya,negative
Alodokter,Aplikasi cukup bagus membantu banget,3,aplikasi bagus membantu banget,negative
Alodokter,Sya sngat terbantu dgn adanya aplikasinya,3,sya sngat terbantu dgn aplikasinya,negative
Halodoc,Ya lumayan pemberitahu informasi dari apk halodoc dari dokternya juga bagus terimakasih,4,ya lumayan pemberitahu informasi apk halodoc dokternya bagus terimakasih,positive
Alodokter,"saya pikir buka aplikasi alodoc ini gratis untuk kita chat nanya2 keluhan aja , ternyata harus bayar ,kecewa banget 😓",1,pikir buka aplikasi alodoc gratis chat nanya2 keluhan aja bayar kecewa banget,negative
Halodoc,Kok selalu update,1,update,negative
Halodoc,"Kenapa pembayaran mesti pake uang elektronik ( gopay, link aja) sama kartu kredit sih ?? Jadi gak bisa lakuin pembayaran dan otomatis gak bisa Konsul. Auto hapus aplikasi 😩",2,pembayaran mesti pake uang elektronik gopay link aja kartu kredit sih gak lakuin pembayaran otomatis gak konsul auto hapus aplikasi,negative
Halodoc,Kurang jelas jwaban yg di berikan meskipun SDH panjang lebar dan di sertai hasil agar bisa di jlskan malah dapat jwaban kurang jelas .. Apa yg harus di hindari Apa yg bole di konsumsi ternyta hnya 1 smpaai 5 Kata saja di balas,1,jwaban yg sdh lebar sertai hasil jlskan jwaban yg hindari yg bole konsumsi ternyta hnya 1 smpaai 5 balas,negative
Halodoc,so helpful dokternya..makasiiih halodoc,5,so helpful dokternyamakasiiih halodoc,positive
Alodokter,Respon shop/chate dokter kurang cepat,1,respon shopchate dokter cepat,negative
Halodoc,Biasalah,2,biasalah,negative
Halodoc,"Respon cepat. Tapi yang mengecewakan. SEBELUM SAYA CHAT DOKTER, TERTERA DISITU UNTUK BIAYA FREE. lalu kok disuruh BAYAR!! Gimana?!",2,respon cepat mengecewakan chat dokter tertera disitu biaya free disuruh bayar gimana,negative
Halodoc,Pelayanan mantab,4,pelayanan mantab,positive
Alodokter,Aplikasi tidak bagus,1,aplikasi bagus,negative
Halodoc,bagus,5,bagus,positive
Halodoc,Kuereeeen,1,kuereeeen,negative
Alodokter,Kurang puas dg jawaban dokter,2,puas dg dokter,negative
Halodoc,Apakah bisa setelah konsultasi dengan dokter spkj akan di berikan resep obat yg biasa saya gunakan oleh dokter pas waktu saya konsultasi langsung ke RS ? Maaf saya kasih 2 bintang dulu kalobisa dikasih ressep obat yg saya butuhkan saya kasih bintang 5,2,konsultasi dokter spkj resep obat yg dokter pas konsultasi langsung rs maaf kasih 2 bintang kalobisa dikasih ressep obat yg butuhkan kasih bintang 5,negative
Alodokter,Kk apk nya lagi engk bisa dj buka ya?,5,kk apk nya engk dj buka ya,positive
Halodoc,"Tolong benerin aplikasinya, di bagian menu toko kesehatan di Android, suka bikin hang HP nya.",1,tolong benerin aplikasinya menu toko kesehatan android suka bikin hang hp nya,negative
Halodoc,"obat yang diresepkan banyak yang tdk ada,",3,obat diresepkan tdk,negative
Halodoc,"Harusnya bintang 0 aja ga sih, udah bayar mahal dokter ga ada responnya, buang2 duit Tolong pengembalian dana nya",1,bintang 0 aja ga sih udah bayar mahal dokter ga responnya buang2 duit tolong pengembalian dana nya,negative
Alodokter,Ikutan chat dokter & uda bayar tapi lama gak dibales. Sampai 20 menit lebih. Saya ubah update profil karena tgl lahir & jenis kelamin salah malah keluar² terus dari aplikasi.,2,ikutan chat dokter uda bayar gak dibales 20 menit ubah update profil tgl lahir jenis kelamin salah keluar² aplikasi,negative
Alodokter,"Sebagai pengguna baru kesel sih pas daftar aakun d tahap gmail g mau masuk katanya coba cek email anda, email aku cuman 1 itu doang aku pake d apk lain tp d alodokter g mau masuk",2,pengguna kesel sih pas daftar aakun d tahap gmail g masuk coba cek email email cuman 1 doang pake d apk tp d alodokter g masuk,negative
Halodoc,1. Pembayaran tidak terverifilasi automatis...harus di konfirmasi oleh pasien (parah) 2. Proses check and richeck ada antrian (gila bener) 3. Nulis alamat pasien di paket salah..(mampus aja lu) jadi grab nya muter cari alamat yg benernya 4. Aplikasinya masih payah tidak terintegrasi dgn ekosistim terdekat 5. Pasien di jakarta timur..obat datang dari bekasi jauh banget emang gak ada apotik deket pasien yg sudah di itegrasikan,1,1 pembayaran terverifilasi automatisharus konfirmasi pasien parah 2 proses check and richeck antrian gila bener 3 nulis alamat pasien paket salahmampus aja lu grab nya muter cari alamat yg benernya 4 aplikasinya payah terintegrasi dgn ekosistim terdekat 5 pasien jakarta timurobat bekasi banget emang gak apotik deket pasien yg itegrasikan,negative
Halodoc,"Tolong kalau biaya kirim pake gosend yang jelas itu udah sama ongkos parkir atau belum, sebab saya ngerasa biasanya saya ga ada dipalak uang parkir,bukan masalah nominalnya tp ini karena pesan urgent utk obat sakit, dan cashless pake gopay biar cepat bisa diminum obatnya. Jadiny harus masuk lagi ambil uang dulu. Biasanya ga pernah dipalak uang parkir setau dan sepengalaman saya klo parkir ojol selalu dpt prioritas",2,tolong biaya kirim pake gosend udah ongkos parkir ngerasa ga dipalak uang parkirbukan nominalnya tp pesan urgent utk obat sakit cashless pake gopay biar cepat diminum obatnya jadiny masuk ambil uang ga dipalak uang parkir setau sepengalaman klo parkir ojol dpt prioritas,negative
Alodokter,"Dokter lama menjawab, kalau terlambat jawab sebentar pesan ditutup otomatis padahal sudah bayar.",1,dokter terlambat sebentar pesan ditutup otomatis bayar,negative
Alodokter,Terima kasih,4,terima kasih,positive
Halodoc,Gatau kurang puas aja sama dokternya kita kan cuman di kasih 30mnit ya dan waktu konsul tuh dokternya super lama banget jawabnya jadinya gk bener bener puas,1,gatau puas aja dokternya cuman kasih 30mnit ya konsul tuh dokternya super banget gk bener bener puas,negative
Halodoc,Sangat membantu bagi aku yang introvert ini,5,membantu introvert,positive
Alodokter,okeh,5,okeh,positive
Alodokter,Parah ini aplikasi bukannya membantu malah membebani para pengguna dgn chat aja pake bayar Rp.8.500. Maaf saya kasih bintang 1 karena g sesuai dengan kondisi pengguna.,1,parah aplikasi membantu membebani pengguna dgn chat aja pake bayar rp8500 maaf kasih bintang 1 g sesuai kondisi pengguna,negative
Alodokter,"Baru download aplikasi ini dan registrasi, udah ditelp 3 nomor berbeda yg mengatasnamakan alodokter. Mohon diperhatikan keamanan data pribadi kami 🙏🏼",2,download aplikasi registrasi udah ditelp 3 nomor berbeda yg mengatasnamakan alodokter mohon diperhatikan keamanan data pribadi,negative
Alodokter,"baik, terimakasih dok😇",4,terimakasih dok,positive
Halodoc,ok,5,ok,positive
Alodokter,Ko database cust Alodokter tidak aman banget yah?? Setiap abis download Alodokter pasti ditelfonin sama penipu.,3,ko database cust alodokter aman banget yah abis download alodokter ditelfonin penipu,negative
Alodokter,"Udh aku uninstal , pas di update mau chat dokter jadi bayar 😌",3,udh uninstal pas update chat dokter bayar,negative
Alodokter,"Sebelumnya saya minta maaf ya bila ada kekeliruan. Kenapa saldo saya otomatis kesedot 39.000 padahal saya tidak berlangganan dan dari pihak Alodokter tidak ada konfirmasi mengenai tagihan yang dikenakan. Bukan masalah seberapa besar tagihan otomatisnya, saya mau penjelasan kenapa saldo saya tiba² tersedot otomatis. Tolong penjelasannya, sebelumnya saya tidak tau aplikasi ini saya tau gara² ada ibu² yang menawarkan aplikasi ini seperti sales dan saya kalau setiap ada seperti itu saya bantu.",2,maaf ya kekeliruan saldo otomatis kesedot 39000 berlangganan alodokter konfirmasi tagihan dikenakan tagihan otomatisnya penjelasan saldo tiba² tersedot otomatis tolong penjelasannya tau aplikasi tau gara² ibu² menawarkan aplikasi sales bantu,negative
Alodokter,Ini yang ke adaan darurat gimana? Dan gak punya duit gimana dok? Masak iya Dok orang keadaan darurat nggak ada bantuan nya sama sekali apa lagi yang darurat banget nggak ada duit saya padahal sendirian ini dok ngga ada yang bantuin,1,adaan darurat gimana gak duit gimana dok masak iya dok orang darurat nggak bantuan nya darurat banget nggak duit dok ngga bantuin,negative
Alodokter,the best,5,the best,positive
Halodoc,"Baru pertama kali coba. Respon cepat dan mudah Edit 2023. Maaf ini kasian banget drivernya nganter obat dari majalaya ke garut. Kayaknya ini efek apotek halodoc belum merata ya. Di kota besar memang cepat obatnya udh repeat order. Tp di garut ini aduh yg bisa cepat dan dekat jadi lama dan jauh. Kasian drivernya, beliau menyanggupi, jd sy gaenak mau cancelnya",2,kali coba respon cepat mudah edit 2023 maaf kasian banget drivernya nganter obat majalaya garut kayaknya efek apotek halodoc merata ya kota cepat obatnya udh repeat order tp garut aduh yg cepat kasian drivernya beliau menyanggupi jd sy gaenak cancelnya,negative
Halodoc,Ngga bersahabat sama rakyat kecil. .klo cuma nanya harus bar 65 ribu,2,ngga bersahabat rakyat klo nanya bar 65 ribu,negative
Halodoc,Bagus sangat episien👍👍👍,4,bagus episien,positive
Halodoc,gak bisa log inn,1,gak log inn,negative
Alodokter,Respon pertama chat lama sekarang tidak seperti dulu langsung direspon ... Ada tulisan tunggu 5 menit tpi sudah 1 jam nunggu tak kunjung di respon2 oleh dokternya🥹,4,respon chat langsung direspon tulisan tunggu 5 menit tpi 1 jam nunggu kunjung respon2 dokternya,positive
Halodoc,dokternya fast respon,5,dokternya fast respon,positive
Alodokter,keren,5,keren,positive
Alodokter,"selamt siang dokter, saya susanto dr Purwodadi, ijin bertanya dokter saya barusaja kecelakaan dan fraktur /patah lengan tangan kanan kedua sisi tulangnya,yg satu ditengah lengan kanan bawah dan satunya agak mepet pergelangan bawah. telah dioparisi dipasang dua pen sehari setelah kejadian.tgl 16 desb 2024 di salh satu rumah skit jateng. konfisi skrng 90persen luka belahan operasi telah kering dan tertutup, yg saya tanyakan,,bagaimana perawatn selanjutnya,apa msh perlu digendong ? dan obatny?",4,selamt siang dokter susanto dr purwodadi ijin dokter barusaja kecelakaan fraktur patah lengan tangan kanan sisi tulangnyayg ditengah lengan kanan satunya mepet pergelangan dioparisi dipasang pen sehari kejadiantgl 16 desb 2024 salh rumah skit jateng konfisi skrng 90persen luka belahan operasi kering tertutup yg tanyakanbagaimana perawatn selanjutnyaapa msh digendong obatny,positive
Alodokter,terimakasih dok,2,terimakasih dok,negative
Halodoc,"Saya sedabg sakit tapi sulit untuk cuti jadi inisiatif periksa online, awalnya di aplikasi ini beberpa dokter sibuk, baru beberapa saat ketemu dokter yang bisa konsultasi. Syafakillah",4,sedabg sakit sulit cuti inisiatif periksa online aplikasi beberpa dokter sibuk ketemu dokter konsultasi syafakillah,positive
Halodoc,Aplikasi nya lmbat sekali saat Di buka.... Please perbaiki halodoc,2,aplikasi nya lmbat buka please perbaiki halodoc,negative
Alodokter,Terimakasih aplikasi ini sungguh membantu,4,terimakasih aplikasi sungguh membantu,positive
Alodokter,Sayang sekali apk alodokter sudah ada biaya chat dengan dokter umum.. padahal sebelumnya sangat membantu,2,sayang apk alodokter biaya chat dokter membantu,negative
Halodoc,Bukan untuk masyarakat susah,2,masyarakat susah,negative
Halodoc,"Cukup baik,",4,,positive
Halodoc,Lumayan buat yg sakit di kosan,3,lumayan yg sakit kosan,negative
Alodokter,Sangat membantu,4,membantu,positive
Halodoc,Sangat membantu,4,membantu,positive
Halodoc,"Sudah membantu, tapi sayang untuk surat sakitnya tidak diakui.. Jadi harus periksa ke dokter klinik lagi",2,membantu sayang surat sakitnya diakui periksa dokter klinik,negative
Alodokter,"Sebenernya saya baru download liat di YouTube ehhh malah bayar. Saya paling gak suka kalo apa apa itu bayar.... Padahal saya cuman ingin bertanya gak minta di obatin, gak minta di kasih obat cuman tanya aja kok bayar sihhhh?????😭",2,sebenernya download liat youtube ehhh bayar gak suka kalo bayar cuman gak obatin gak kasih obat cuman aja bayar sihhhh,negative
Halodoc,Balas CHATT nya GK lama,5,balas chatt nya gk,positive
Alodokter,tolong berikan fitur hapus chat dgn dokter agar privasi lbh terjaga,4,tolong fitur hapus chat dgn dokter privasi lbh terjaga,positive
Alodokter,Respon kilat,5,respon kilat,positive
Alodokter,"Saya kasi 1 bintang aja, masa chat aja harus ada bayarannya kan ngak mungkin dasar aplikasi ngak berguna",1,kasi 1 bintang aja chat aja bayarannya ngak dasar aplikasi ngak berguna,negative
Alodokter,Sangat bermanfaat.,4,bermanfaat,positive
Alodokter,Sekelaa Apk Alodokter kirim sms OTP aja gak ada sms nya! Dicoba berkali kali g bsa sinyal dan pulsa banyak,1,sekelaa apk alodokter kirim sms otp aja gak sms nya dicoba berkali kali g bsa sinyal pulsa,negative
Halodoc,sangat membantu,5,membantu,positive
Halodoc,"ga bisa registrasi, otp gagal terus, fitur2 ga keluar.app ngaco",1,ga registrasi otp gagal fitur2 ga keluarapp ngaco,negative
Alodokter,Apakah chat harus bayar,2,chat bayar,negative
Halodoc,"Aplikasi ini bagus tapi kurang jelas SOPnya, chat dengan dokter dibatasi 30 menit, tapi yang saya alami, 5 menit awal dan 5 menit akhir saja dokternya online. Chat saya tidak ceklis 2 selama ± 15 menit",3,aplikasi bagus sopnya chat dokter dibatasi 30 menit alami 5 menit 5 menit dokternya online chat ceklis 2 15 menit,negative
Alodokter,Lama gak bisa di buka slow respon,2,gak buka slow respon,negative
Alodokter,Saya sudah bayar tp aplikasi tidak bisa di buka apa*an lah,2,bayar tp aplikasi buka,negative
Halodoc,bagusss,5,bagusss,positive
Halodoc,gbisa pmbyrn selain via ovo gt?,3,gbisa pmbyrn via ovo gt,negative
Halodoc,Kurirnya mencuri obat saya. CS nya sudah saya hubungi berkali kali masih saja tidak menanggapi,1,kurirnya mencuri obat cs nya hubungi berkali kali menanggapi,negative
Alodokter,"Data pribadi tidak aman di app ini, no telp mudah tersebar dan di telpon org yg mengaku dari pihak asuransi",2,data pribadi aman app no telp mudah tersebar telpon org yg mengaku asuransi,negative
Halodoc,konsultasi memuaskan dg dokter spesialis yg ada d aplikasi..,5,konsultasi memuaskan dg dokter spesialis yg d aplikasi,positive
Alodokter,Saya sudah bayar ko belum ada jawabannya dan mau chat lagi disuruh bayar lagi ???,1,bayar ko jawabannya chat disuruh bayar,negative
Halodoc,"bagus. konsul nya cepet. nanti kalo ada perubahan dari saya, saya kasih bintang 5",4,bagus konsul nya cepet kalo perubahan kasih bintang 5,positive
Alodokter,apknya agak ngeleg ngeleg,4,apknya ngeleg ngeleg,positive
Alodokter,"Tolong alodokter hapus jasa antar Pake next day karena bener bner ngehambat bgt saya order tgl 19 sampe tgl 22 hari ini belum juga sampe padahal next day itu, klo ada jasa instan sampe 2 jam udah saya pake jasa instan komplen lewat WA respon nya gtu gtu aja, tolong klo kejadian ini terjadi di pasien lain yang lagi kritis itu org keburu MATII!!!!!!! TOLONG PERBAIKI NIH ALODOKTER UNTUK JASA ANTAR NYA!!! SAYA KECEWA SEBAGAI PENGGUNA SETIA ALODOKTER SAYA PAKE JASA JNE NEXT DAY",2,tolong alodokter hapus jasa pake next day bener bner ngehambat bgt order tgl 19 sampe tgl 22 sampe next day klo jasa instan sampe 2 jam udah pake jasa instan komplen wa respon nya gtu gtu aja tolong klo kejadian pasien kritis org keburu matii tolong perbaiki nih alodokter jasa nya kecewa pengguna setia alodokter pake jasa jne next day,negative
Alodokter,Katanya gratis tapi kok byar,1,gratis byar,negative
Alodokter,"ibu dokter ini baik banget, menjelaskan dengan detail dan fast respon",5,dokter banget detail fast respon,positive
Alodokter,Mengapa sy tdk bisa melihat detail resep saya ?,3,sy tdk detail resep,negative
Alodokter,"I didnt know how alodokter proses obatnya. Yang saya tau, how them proced sangat lama sekali. Kenapa gak lgsg distribusi perintah permintaan obat ke masing2 wilayah terdekat, sehingga customer dapat obat mereka lebih cepat. Intinya itu.. thanks.",3,i didnt know how alodokter proses obatnya tau how them proced gak lgsg distribusi perintah permintaan obat masing2 wilayah terdekat customer obat cepat intinya thanks,negative
Alodokter,respon baik,4,respon,positive
Halodoc,"sangat membantu, tidak perlu keluar rumah",5,membantu rumah,positive
Alodokter,mantappp,5,mantappp,positive
Halodoc,😊,2,,negative
Halodoc,tolong di perbanyak kerjasama dengan Apotek di wilayah Karawang Jabar,5,tolong perbanyak kerjasama apotek wilayah karawang jabar,positive
Halodoc,Ribet .... Nanya bayar y... Haduuuu,3,ribet nanya bayar y haduuuu,negative
Alodokter,klo bagus z tambah bintangx,3,klo bagus z bintangx,negative
Halodoc,Not bad,3,not bad,negative
Alodokter,"Hallo dok,hari ini saya baru di vaksin ,hari ini juga saya suntik kb 3bln. Apakah bisa dok secara waktu bersamaan .terima kasih",2,hallo dokhari vaksin suntik kb 3bln dok bersamaan terima kasih,negative
Halodoc,Lama banget pengiriman obatnya,2,banget pengiriman obatnya,negative
Halodoc,"Kecewaaaa konsul cuman sebentar nggk sampe 15 menit juga padahal hrusnya 45menit,itupun di kasih jawabannya yg di copy aja tinggl kirim kecewa pokonya.",1,kecewaaaa konsul cuman sebentar nggk sampe 15 menit hrusnya 45menititupun kasih jawabannya yg copy aja tinggl kirim kecewa pokonya,negative
Halodoc,"Sangat tidak puas dengan jawaban dr yg saya konsultasi, kurang ramah dan jawaban nya sangat tdak memuaskan dan tidak ada memberikan solusi dan tiba-tiba chat di putus tanpa pemberitahuan.",1,puas dr yg konsultasi ramah nya tdak memuaskan solusi tibatiba chat putus pemberitahuan,negative
Halodoc,Dokternya bagus2. Tpi sptnya terkendala di aplikasinya yg mengirim pesan lama sekali jadi 30 menit terbuang sia2 pdhl bnyk penjelasan dokternya.. mohon di tingkatkan lagi,3,dokternya bagus2 tpi sptnya terkendala aplikasinya yg mengirim pesan 30 menit terbuang sia2 pdhl bnyk penjelasan dokternya mohon tingkatkan,negative
Alodokter,Ini bagaimana ya caranya berhenti kalau nga pernah memakai jasa ini tp uang saya terpotong mulu di atm,3,ya berhenti nga memakai jasa tp uang terpotong mulu atm,negative
Alodokter,"dr yuda pradana sangat tidak rekomen, memberi penjelasan pakai bot dan teks cepat. dikasih resep tapi disuruh berobat langsung, trus apa gunanya alodokter kalo gtu",1,dr yuda pradana rekomen penjelasan pakai bot teks cepat dikasih resep disuruh berobat langsung trus gunanya alodokter kalo gtu,negative
Alodokter,Ada kendala setiap mau chat dokter ngeblank gitu,3,kendala chat dokter ngeblank gitu,negative
Alodokter,"Jujur saya rasa saya chating sama robot daripada sama dokter, harusnya screening Artificial Inteligence nya tidak hanya ada opsi YA ATAU TIDAK saja, melainkan juga Tidak Tahu / Belum dipastikan, karena misal kalau alergi obat mayoritas orang yg baru belum akan tahu kalau ada alergi obat tertentu. Terus biaya 8500 utk dokter umum serasa cepat sekali diakhirinya.",3,jujur chating robot dokter screening artificial inteligence nya opsi ya alergi obat mayoritas orang yg alergi obat biaya 8500 utk dokter serasa cepat,negative
