application,review,rating
Alodokter,Ini yang ke adaan darurat gimana? Dan gak punya duit gimana dok? Masak iya Dok orang keadaan darurat nggak ada bantuan nya sama sekali apa lagi yang darurat banget nggak ada duit saya padahal sendirian ini dok ngga ada yang bantuin,1
Alodokter,the best,5
Halodoc,"Baru pertama kali coba. Respon cepat dan mudah Edit 2023. Maaf ini kasian banget drivernya nganter obat dari majalaya ke garut. Kayaknya ini efek apotek halodoc belum merata ya. Di kota besar memang cepat obatnya udh repeat order. Tp di garut ini aduh yg bisa cepat dan dekat jadi lama dan jauh. Kasian drivernya, beliau menyanggupi, jd sy gaenak mau cancelnya",2
Halodoc,Ngga bersahabat sama rakyat kecil. .klo cuma nanya harus bar 65 ribu,2
Halodoc,Bagus sangat episien👍👍👍,4
Halodoc,gak bisa log inn,1
Alodokter,Respon pertama chat lama sekarang tidak seperti dulu langsung direspon ... Ada tulisan tunggu 5 menit tpi sudah 1 jam nunggu tak kunjung di respon2 oleh dokternya🥹,4
Halodoc,dokternya fast respon,5
Alodokter,keren,5
Alodokter,"selamt siang dokter, saya susanto dr Purwodadi, ijin bertanya dokter saya barusaja kecelakaan dan fraktur /patah lengan tangan kanan kedua sisi tulangnya,yg satu ditengah lengan kanan bawah dan satunya agak mepet pergelangan bawah. telah dioparisi dipasang dua pen sehari setelah kejadian.tgl 16 desb 2024 di salh satu rumah skit jateng. konfisi skrng 90persen luka belahan operasi telah kering dan tertutup, yg saya tanyakan,,bagaimana perawatn selanjutnya,apa msh perlu digendong ? dan obatny?",4
Alodokter,terimakasih dok,2
Halodoc,"Saya sedabg sakit tapi sulit untuk cuti jadi inisiatif periksa online, awalnya di aplikasi ini beberpa dokter sibuk, baru beberapa saat ketemu dokter yang bisa konsultasi. Syafakillah",4
Halodoc,Aplikasi nya lmbat sekali saat Di buka.... Please perbaiki halodoc,2
Alodokter,Terimakasih aplikasi ini sungguh membantu,4
Alodokter,Sayang sekali apk alodokter sudah ada biaya chat dengan dokter umum.. padahal sebelumnya sangat membantu,2
Halodoc,Bukan untuk masyarakat susah,2
Halodoc,"Cukup baik,",4
Halodoc,Lumayan buat yg sakit di kosan,3
Alodokter,Sangat membantu,4
Halodoc,Sangat membantu,4
Halodoc,"Sudah membantu, tapi sayang untuk surat sakitnya tidak diakui.. Jadi harus periksa ke dokter klinik lagi",2
Alodokter,"Sebenernya saya baru download liat di YouTube ehhh malah bayar. Saya paling gak suka kalo apa apa itu bayar.... Padahal saya cuman ingin bertanya gak minta di obatin, gak minta di kasih obat cuman tanya aja kok bayar sihhhh?????😭",2
Halodoc,Balas CHATT nya GK lama,5
Alodokter,tolong berikan fitur hapus chat dgn dokter agar privasi lbh terjaga,4
Alodokter,Respon kilat,5
Alodokter,"Saya kasi 1 bintang aja, masa chat aja harus ada bayarannya kan ngak mungkin dasar aplikasi ngak berguna",1
Alodokter,Sangat bermanfaat.,4
Alodokter,Sekelaa Apk Alodokter kirim sms OTP aja gak ada sms nya! Dicoba berkali kali g bsa sinyal dan pulsa banyak,1
Halodoc,sangat membantu,5
Halodoc,"ga bisa registrasi, otp gagal terus, fitur2 ga keluar.app ngaco",1
Alodokter,Apakah chat harus bayar,2
Halodoc,"Aplikasi ini bagus tapi kurang jelas SOPnya, chat dengan dokter dibatasi 30 menit, tapi yang saya alami, 5 menit awal dan 5 menit akhir saja dokternya online. Chat saya tidak ceklis 2 selama ± 15 menit",3
Alodokter,Lama gak bisa di buka slow respon,2
Alodokter,Saya sudah bayar tp aplikasi tidak bisa di buka apa*an lah,2
Halodoc,bagusss,5
Halodoc,gbisa pmbyrn selain via ovo gt?,3
Halodoc,Kurirnya mencuri obat saya. CS nya sudah saya hubungi berkali kali masih saja tidak menanggapi,1
Alodokter,"Data pribadi tidak aman di app ini, no telp mudah tersebar dan di telpon org yg mengaku dari pihak asuransi",2
Halodoc,konsultasi memuaskan dg dokter spesialis yg ada d aplikasi..,5
Alodokter,Saya sudah bayar ko belum ada jawabannya dan mau chat lagi disuruh bayar lagi ???,1
Halodoc,"bagus. konsul nya cepet. nanti kalo ada perubahan dari saya, saya kasih bintang 5",4
Alodokter,apknya agak ngeleg ngeleg,4
Alodokter,"Tolong alodokter hapus jasa antar Pake next day karena bener bner ngehambat bgt saya order tgl 19 sampe tgl 22 hari ini belum juga sampe padahal next day itu, klo ada jasa instan sampe 2 jam udah saya pake jasa instan komplen lewat WA respon nya gtu gtu aja, tolong klo kejadian ini terjadi di pasien lain yang lagi kritis itu org keburu MATII!!!!!!! TOLONG PERBAIKI NIH ALODOKTER UNTUK JASA ANTAR NYA!!! SAYA KECEWA SEBAGAI PENGGUNA SETIA ALODOKTER SAYA PAKE JASA JNE NEXT DAY",2
Alodokter,Katanya gratis tapi kok byar,1
Alodokter,"ibu dokter ini baik banget, menjelaskan dengan detail dan fast respon",5
Alodokter,Mengapa sy tdk bisa melihat detail resep saya ?,3
Alodokter,"I didnt know how alodokter proses obatnya. Yang saya tau, how them proced sangat lama sekali. Kenapa gak lgsg distribusi perintah permintaan obat ke masing2 wilayah terdekat, sehingga customer dapat obat mereka lebih cepat. Intinya itu.. thanks.",3
Alodokter,respon baik,4
Halodoc,"sangat membantu, tidak perlu keluar rumah",5
Alodokter,mantappp,5
Halodoc,😊,2
Halodoc,tolong di perbanyak kerjasama dengan Apotek di wilayah Karawang Jabar,5
Halodoc,Ribet .... Nanya bayar y... Haduuuu,3
Alodokter,klo bagus z tambah bintangx,3
Halodoc,Not bad,3
Alodokter,"Hallo dok,hari ini saya baru di vaksin ,hari ini juga saya suntik kb 3bln. Apakah bisa dok secara waktu bersamaan .terima kasih",2
Halodoc,Lama banget pengiriman obatnya,2
Halodoc,"Kecewaaaa konsul cuman sebentar nggk sampe 15 menit juga padahal hrusnya 45menit,itupun di kasih jawabannya yg di copy aja tinggl kirim kecewa pokonya.",1
Halodoc,"Sangat tidak puas dengan jawaban dr yg saya konsultasi, kurang ramah dan jawaban nya sangat tdak memuaskan dan tidak ada memberikan solusi dan tiba-tiba chat di putus tanpa pemberitahuan.",1
Halodoc,Dokternya bagus2. Tpi sptnya terkendala di aplikasinya yg mengirim pesan lama sekali jadi 30 menit terbuang sia2 pdhl bnyk penjelasan dokternya.. mohon di tingkatkan lagi,3
Alodokter,Ini bagaimana ya caranya berhenti kalau nga pernah memakai jasa ini tp uang saya terpotong mulu di atm,3
Alodokter,"dr yuda pradana sangat tidak rekomen, memberi penjelasan pakai bot dan teks cepat. dikasih resep tapi disuruh berobat langsung, trus apa gunanya alodokter kalo gtu",1
Alodokter,Ada kendala setiap mau chat dokter ngeblank gitu,3
Alodokter,"Jujur saya rasa saya chating sama robot daripada sama dokter, harusnya screening Artificial Inteligence nya tidak hanya ada opsi YA ATAU TIDAK saja, melainkan juga Tidak Tahu / Belum dipastikan, karena misal kalau alergi obat mayoritas orang yg baru belum akan tahu kalau ada alergi obat tertentu. Terus biaya 8500 utk dokter umum serasa cepat sekali diakhirinya.",3
Halodoc,"Sudah sampai posting id card dari beberapa sumber tetap aja ga bisa pemesanan jasa, jadi instal aplikasi yang lain aja",1
Alodokter,cepat tepat terbaik pokonya,5
Halodoc,"sejauh ini oke, smoga anak saya sembuh",5
Halodoc,Itu yg bikin y6y ini adalah u yg yangi UU no no no Uta untuk apa ma aku apa t,2
Alodokter,3 tahun lalu saya review ini bagus sekali bintang lima. Sekarang saya kasih bintang 3 aja karena banyak sekali penipuan skrg dan data pribadi saya seperti tidak ada privasinya. Sudah ada 3 kali daya ditelepon dengan mengatasnamakan alodokter. Entah dapat info darimana kalau bukan dari alodokter itu sendiri dibobol. Mohon untuk lebih menjaga privasi orang lagi.,2
Halodoc,pertama kali konsultasi di halodoc ternyata mudah dan gampang di fahami,5
Halodoc,mantab ni,5
Alodokter,"Saya sudah gak berlanganan aplikasi sudah di apus. Massa saldo msh ketrik, tolong non aktivin, karna menyedot saldo mbking saya. Aplikasi jelek.",1
Halodoc,Respon yang sangat cepat,4
Alodokter,"Saya bahkan belum sempat 'ngomong' , chat sdh ditutup. Cuma disuruh jawab prtnyaan yg jwabannya ya tidak ya tidak doang. Kolom chat tidak ada. Gaje banget 45 rb tidak worth it. I got nothing.",1
Alodokter,Mantap,4
Alodokter,Membantu sekali tapi saya kasi bintang 4 dulu ya soalnya belum tau hasilnya,4
Alodokter,Tidak bersahabat,2
Alodokter,Aplikasi bngsat,1
Halodoc,mantap,5
Alodokter,Terimakasih atas jawaban dr. Yang telah menjawab pertanyaan dgn sebaik baiknya.,4
Alodokter,Atas nama dokter angela sandi tagaroi.. Saya mnunggu balasannya selama stngah jam tapi tidak ada balasan apa2 smpai chat otomatis trttup.. Rugi saya balikin duit saya woi...,1
Alodokter,"trimakasih dok, penjelasan sangat detail dan baik",5
Halodoc,Jelek,1
Alodokter,sangat membantu,5
Alodokter,"sy butuh obat, krn sdh 3 hari sakit, ketika order di alodokter sdh bayar, obat tdk dikirim2, lalu ada pesan krn ada kendala system pesanan gagal. Dana akan di refund dalam 3hari kerja alasan kliring bank. Saya butuh uang itu buat beli obat lagi segera, tdk bisa menunggu dalam 3 hari jika konsumen dg dana terbatas. Gimana jika sakit makin parah , krn menunggu uang refund utk beli obat lagi. Apakah tdk ada solusi ? Hanya bisa pasrah dan uninstal aplikasi alodokter selamanya, #kapok.",1
Halodoc,"Pelayanan pembelian obat tidak ontime harus order ulang, padahal butuh urgent",1
Alodokter,Mkasih dok.atas sarannya🙏🙏🙏,3
Alodokter,Baik,4
Halodoc,"sangat membantu, respon dokternya juga cepat",5
Alodokter,"Error' apk nya, disuruh bayar lewat e-walet giliran mau dibayar pake shopee, pas login Ket nya error' terus !",1
Halodoc,"Sangat disayangkan , lagi butuh banget tapi sistem pembayaran terlalu ribet , OK lah berbayar tapi coba dibikin banyak pilihan pembayaran jadi bisa lebih mudah . Semoga bisa diperbaharui lagi suapaya bisa memuaskan pengguna .",2
Halodoc,"Membantu sekali dikala emergensi .. Tp jangan sering sering pakai ini, dan jangan langsung dipakai, usahakan pakai dulu suplemen alami dan tingkatkan imun sebelum pakai obat ..",4
Alodokter,sudah bayar dan nunggu 7 menit dan tidak ada balasan sama skali sudah lama,2
Alodokter,Selmt mlm doktr saya kris keluan saya bebrapa bln ini mata saya.klu kena angin perih dan.gatal2 gimn atasi dokter trimakasih,3
Alodokter,bagus,5
Alodokter,"bintang 0 kalo bisa, sudah bayar untuk konsultasi online tapi tidak dilayani bahkan menunggu lebih dari 30 menit",1
Halodoc,"- Untuk dokternya mohon pemberian resepnya jangan asal, (sesuaikan juga dgn kondisi keuangan pasien) Trus jgan judes dong - untuk fitur aplikasi nya udah bagus, thanks",2
Halodoc,good,5
Halodoc,Sangat membantu,4
Alodokter,baik sekali dokternya 👍,5
Halodoc,Hai nama saya Jwita saya mau nanya bagaimana caranya membayar ya saya tidak punya rekening dan apapun. Saya melihat chat dengan dokter itu gratis tapi setelah saya lihat ternyatq bayar itu kayakmanaya.,2
Alodokter,"Bah gue bayar buat konsultasi baru beberapa menit udah di akhiri chatnya aja, rugi, lebih baik saya uninstal",1
Halodoc,"Pelayanan bagus dan cepat, langsg di beri resep obat.",5
Alodokter,Memudahkan kita untuk mengetahui sebelum pergi ke dokter atau bidan,4
Alodokter,Ok,4
Halodoc,Duku tidak berbayar.kok sekarang jadi berbayar ya,2
Halodoc,Pelayanan lambat,1
Halodoc,Pemilihan apotek kenapa ambil yang jauh dari lokasi pemesanan. Jadi mahal ongkir dan kurirnya kasihan,2
Halodoc,"Menu isi saldonya gk ada, adanya tarik saldo.. Ini gimana min?",2
Halodoc,Sementara saya beri ini dulu...sayang ya pilihan pembayarannya masih belum banyak..tolong dong dtambah opsi pembayaran via OVO..,3
Halodoc,"pelit kata2, anjuran brp x brp tdk di info.dan pantangannya apa aj jg ga di info",4
Halodoc,siippp,5
Halodoc,pelayan sayang baik,5
Halodoc,Kenapa sih harus bayar periksa aja belum udh minta pembayaran,2
Alodokter,"aplikasi aneh!!! gue dah login lewat google dan sudah masukkan kode otp/verivikasi nya gak guna!!padahal banyak banget yang mau di tanya tapi malah gak bisa masuk!! gue saranin jangan dowloand apk ini, sudah tidak bisa masuk ke apk nya dan bahkan berbayar!!",1
Halodoc,sudah 2 kali dibuat kecewa sm aplikasi ini. Respon lamaaa banget,1
Halodoc,Cukup puas dengan pelayanannya,3
Halodoc,"Bagus,makasih yha,",2
Alodokter,"Sangat mengecewakan. Sudah bayar untuk chat dokter tapi suruh tunggu 3 jam. Pas di tunggu 6 jam lebih ga ada respon jawaban malah chat ditutup sistem otomatis. Minta refund dana luar biasa 14 hari kerja baru diproses,, lama banget payah 👎👎👎",1
Alodokter,Respons cepat,4
Alodokter,muahal untuk sesi ini,4
Halodoc,Aplikasi ini sangat membantu..cuman satu yg perlu di konfirmasi...masalah resep dokter ke apotik tujuan terkadang stok obat banyak yg kosong dan ngk sesuai resep dokter...,3
Halodoc,"Terimakasih, sangat membantu.",4
Halodoc,"d😇😇4$""$6😭✌gs",3
Halodoc,sangat membantu,5
Halodoc,Lumayan bagus,4
Alodokter,good,5
Halodoc,bagus,5
Alodokter,Jossss,5
Alodokter,Memuaskan adnya konsultasi mslah terapy dlam perawtan keshtan jasmani.,5
Halodoc,Baru login malah stuck aplikasinya gabisa apa apa kaya freeze. Device yg dipake samsung A30 4/64GB.,3
Alodokter,Gajelas gabisa masuk akun lama,2
Alodokter,pelayanan dokter sudah bagus..hanya saat pembelian obat seperti nya kurang terorganisir dengan baik...apotik yang di tuju banyak sekali di dekat tempat saya..tapi pilihan aplikasi sungguh di luar nurul...nunggu obat sampai dua hari.,3
Alodokter,"memuaskan,. informasinya lengkap detail",5
Halodoc,bener2 sehat tanpa drama,5
Alodokter,jelas,5
Halodoc,Kalau menurut saya sangat membantu ... Terimah kasih udh mau membantu saya,3
Halodoc,selalu beli obat disini sebelumnya.sampai kmrn mau beli obat hrs pake resep..saya fotokan resep dari dokter langganan dr RS karena ada keterangan punya kertas resep dari dokter? saya foto lah kertas resep dan ditolak..harus pakai resep digital dr halodoc...ya sudah ujung2 nya sekarang ke apotik sendiri,3
Halodoc,"Parah sih konsultasi ke dokter tp dokternya tdk bisa di hubungi tapi saldo gopay berkurang padahal belum memulai chat apapun, penipuan!",3
Halodoc,30 menit,2
Alodokter,Baik,3
Halodoc,"Kecewa banget sama dokter d aplikasi halodoc niat konsultasi sama dr kandungan eh taunya responya slow jawabannya singkat"" kaya nanya ga sama dokter wehh pdhl kt bayar nyesel senyesel padhl rating dr 100 to zonk",1
Alodokter,sangat membantu,4
Halodoc,8t&lklike b 6,2
Alodokter,Min kok saya di telpon2 gtu kenapa?,2
Halodoc,Saya kira bisa bertatap wajah ternyata hanya chat aja,4
Alodokter,Dulu GK bayar kaya sekarang . Baru unduh mau uninstall aja deh .,1
Alodokter,Gak usah instal. Mending ke dokter yg bersangkutan saja secara langsung. Konsul di sini buang2 uang. Ujung2 harus datang ke dokter langsung. Karna yg di kasih dokter sini cuma teori yg bejibun di google. Menyesal sy keluar uang utk konsul di dokter sini. Buang2 uang saja.,1
Alodokter,"Saya pesan obat bayar transfer bank malah gagal ,ajukan refund sudah trs penahanan dana 3 hri kerja blm tanggal libur serta merah gk dihitung dan belum dikembalikan sampe sekarang,tidak jujur tidak bertanggung jawab ,kecewa banget jadinya kapok",1
Alodokter,alhamdhulillah trimksih sudah membantu,5
Alodokter,sangat berguna untuk mejalani hidup sehat,3
Halodoc,Ini app penipuan atau gimn?? Atau nunggu firal di tiktok dl kali ya baru di benarin pelayananya kita bayar biaya chat itu ga serapa sih dan berharap bisa konsultasi dengan dokter yg kita byr setelah bayar dokternya ilang begitu muncul sibuk mau chat dgn yg lain hrs byr lagi kayanya niat banget ya...,1
Halodoc,Ongkos kirim instan nya sangat mahal walaupun pakai asuransi tetap saja menurut saya mahal 😅 Kl di hitung sama seperti ke datang ke klink jg waktu sampai obat diterima 🥲 padahal kan kadang butuh urgent obat nya,3
Alodokter,Sangat membantu,4
Alodokter,"katanya gratis untuk chat dengan dokter umum, tp kenyataannya setelah diinstall malah berbayar semua. apk gajelas, auto uninstall!!",1
Alodokter,respon cepat,5
Alodokter,Katanya gratis kok ini malah disuruh bayar sih,1
Halodoc,saya menghubungkan ke salah satu dokter lama lebih dr 30mnt . harusnya ada timer kalo dokternya gk nyaut bisa auto cancel gitu.,2
Halodoc,"Aku selalu pesan obat di halodoc meski harganya lebih mahal dibandingkan ditoko offline waktu pembayaran cuma 10menit tp transaksi terakhir saya sudah terbayarkan tp ga masuk di pesanan saya, saya komplain lewat tlp padahal jaringan bagus malah dijawab cuma halo² saja dibilang ga ada respon, sorry to say halodoc uninstal bintang 1 ga worth it",1
Halodoc,"Kok nyebelin ya. Saya Uda bayar, trs tiba"" notifnya : dokter sedang sibuk. Suruh ganti dokter, apa gak gila itu. Uangnya hangus lagi, gak balik. Konsul aja belum",2
Alodokter,Kenapa Harus Mesti Berbayar,3
Alodokter,Bgus bnget,4
Alodokter,Nanti Saya tambahin kalau Apk nya lancar terus,3
Halodoc,awalnya gratis tp ternyata berbayar 10rb,2
Halodoc,Penjelasan yg diberikan dokter mudah dipahami dan responnya cepat. Mantap,5
Alodokter,Aplikasi tidak bisa di instal,3
Halodoc,lain kali bikin menu pencarian biar gampang cari obatnya,1
Halodoc,Ini kenapa sekarang kok ada yang nelpon mengatas namakan halodoc tolong diperjelas .,2
Halodoc,Pesan obat lama pengirimannyA,3
